# Nominal_15 (Up to date)
# 1086 data points written for 54 variables.
# Simulation warnings:
#   Implantação recuperação do dispositivo a alta velocidade (80,7 m/s)
#
# Tempo (s);Altitude (ft);Velocidade vertical (ft/s);Aceleração vertical (G);Velocidade total (ft/s);Aceleração total (G);Posição a favor do vento (ft);Posição paralela ao vento (ft);Distância lateral (ft);Direção lateral (°);Velocidade lateral (ft/s);Aceleração lateral (G);Latitude (°);Longitude (°);Aceleração gravitacional (G);Ângulo de ataque (°);Taxa de rotação (°/s);Taxa de arremesso (°/s);Taxa de guinada (°/s);Massa. (oz);Massa do propelente (oz);Momento de inércia longitudinal (lb·ft²);Momento de inércia de rotação (lb·ft²);Localização do CP (in);Localização do CG (in);Calibres da margem de estabilidade (?);Número de Mach (?);Número de Reynolds (?);Impulso (N);Força de arrasto (N);Coeficiente de arrasto (?);Coeficiente de arrasto axial (?);Coeficiente de arrasto de atrito (?);Coeficiente de arrasto de pressão (?);Coeficiente de arrasto de base (?);Coeficiente de força normal (?);Coeficiente de momento de Pitch (?);Guinada coeficiente de momento (?);Coeficiente de força lateral (?);Coeficiente do momento de rotação (?);Coeficiente forçado de rotação (?);Coeficiente de amortecimento de rotação (?);Coeficiente de arremesso de amortecimento (?);Aceleração de Coriolis (G);Comprimento de referência (in);Área de referência (in²);Orientação vertical (zênite) (°);Orientação lateral (azimute) (°);Velocidade do vento (ft/s);Temperatura do ar (°F);Pressão do ar (psi);Velocidade do som (ft/s);Passo de tempo de simulação (s);Tempo de computação (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0;0;0;-0.90117;0;0.93296;0;0;0;0;0;0.24147;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;10.302;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0010407
0.01;0;0;-0.84029;0;0.86993;0;0;0;0;0;0.22515;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;30.905;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0013585
0.02;0;0;-0.77938;0;0.80688;0;0;0;0;0;0.20884;32.941;-106.92;0.9985;0;0;0;0;1175.6;216.35;351.21;6.2867;NaN;62.585;NaN;0;0;51.508;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.001645
0.03;0;0;-0.71846;0;0.7438;0;0;0;0;0;0.19251;32.941;-106.92;0.9985;0;0;0;0;1175.4;216.17;351.18;6.2864;NaN;62.583;NaN;0;0;72.111;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.001933
0.04;0;0;-0.65752;0;0.68071;0;0;0;0;0;0.17618;32.941;-106.92;0.9985;0;0;0;0;1175.2;216;351.15;6.2861;NaN;62.581;NaN;0;0;92.714;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0022989
0.05;0;0;-0.59655;0;0.6176;0;0;0;0;0;0.15985;32.941;-106.92;0.9985;0;0;0;0;1175;215.82;351.12;6.2858;NaN;62.579;NaN;0;0;113.32;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0025821
0.06;0;0;-0.53557;0;0.55447;0;0;0;0;0;0.14351;32.941;-106.92;0.9985;0;0;0;0;1174.8;215.64;351.09;6.2855;NaN;62.577;NaN;0;0;133.92;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0029266
0.07;0;0;-0.47458;0;0.49132;0;0;0;0;0;0.12716;32.941;-106.92;0.9985;0;0;0;0;1174.7;215.46;351.06;6.2852;NaN;62.575;NaN;0;0;154.52;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0031966
0.08;0;0;-0.41356;0;0.42815;0;0;0;0;0;0.11081;32.941;-106.92;0.9985;0;0;0;0;1174.5;215.29;351.03;6.2849;NaN;62.573;NaN;0;0;175.13;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0034795
0.09;0;0;-0.35252;0;0.36496;0;0;0;0;0;0.094458;32.941;-106.92;0.9985;0;0;0;0;1174.3;215.11;351;6.2846;NaN;62.571;NaN;0;0;195.73;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;75;0;NaN;45.077;12.742;1101.4;0.01;0.0037516
