# Nominal_5 (Up to date)
# 1067 data points written for 54 variables.
# Simulation warnings:
#   Implantação recuperação do dispositivo a alta velocidade (28,5 m/s)
#
# Tempo (s);Altitude (ft);Velocidade vertical (ft/s);Aceleração vertical (G);Velocidade total (ft/s);Aceleração total (G);Posição a favor do vento (ft);Posição paralela ao vento (ft);Distância lateral (ft);Direção lateral (°);Velocidade lateral (ft/s);Aceleração lateral (G);Latitude (°);Longitude (°);Aceleração gravitacional (G);Ângulo de ataque (°);Taxa de rotação (°/s);Taxa de arremesso (°/s);Taxa de guinada (°/s);Massa. (oz);Massa do propelente (oz);Momento de inércia longitudinal (lb·ft²);Momento de inércia de rotação (lb·ft²);Localização do CP (in);Localização do CG (in);Calibres da margem de estabilidade (?);Número de Mach (?);Número de Reynolds (?);Impulso (N);Força de arrasto (N);Coeficiente de arrasto (?);Coeficiente de arrasto axial (?);Coeficiente de arrasto de atrito (?);Coeficiente de arrasto de pressão (?);Coeficiente de arrasto de base (?);Coeficiente de força normal (?);Coeficiente de momento de Pitch (?);Guinada coeficiente de momento (?);Coeficiente de força lateral (?);Coeficiente do momento de rotação (?);Coeficiente forçado de rotação (?);Coeficiente de amortecimento de rotação (?);Coeficiente de arremesso de amortecimento (?);Aceleração de Coriolis (G);Comprimento de referência (in);Área de referência (in²);Orientação vertical (zênite) (°);Orientação lateral (azimute) (°);Velocidade do vento (ft/s);Temperatura do ar (°F);Pressão do ar (psi);Velocidade do som (ft/s);Passo de tempo de simulação (s);Tempo de computação (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0;0;0;-0.95952;0;0.96319;0;0;0;0;0;0.083947;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;10.302;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0014251
0.01;0;0;-0.89673;0;0.90016;0;0;0;0;0;0.078454;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;30.905;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0017051
0.02;0;0;-0.83391;0;0.8371;0;0;0;0;0;0.072958;32.941;-106.92;0.9985;0;0;0;0;1175.6;216.35;351.21;6.2867;NaN;62.585;NaN;0;0;51.508;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0053118
0.03;0;0;-0.77108;0;0.77403;0;0;0;0;0;0.067461;32.941;-106.92;0.9985;0;0;0;0;1175.4;216.17;351.18;6.2864;NaN;62.583;NaN;0;0;72.111;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0059798
0.04;0;0;-0.70823;0;0.71093;0;0;0;0;0;0.061962;32.941;-106.92;0.9985;0;0;0;0;1175.2;216;351.15;6.2861;NaN;62.581;NaN;0;0;92.714;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0065418
0.05;0;0;-0.64536;0;0.64782;0;0;0;0;0;0.056461;32.941;-106.92;0.9985;0;0;0;0;1175;215.82;351.12;6.2858;NaN;62.579;NaN;0;0;113.32;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0068469
0.06;0;0;-0.58247;0;0.58469;0;0;0;0;0;0.050959;32.941;-106.92;0.9985;0;0;0;0;1174.8;215.64;351.09;6.2855;NaN;62.577;NaN;0;0;133.92;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0070868
0.07;0;0;-0.51956;0;0.52154;0;0;0;0;0;0.045455;32.941;-106.92;0.9985;0;0;0;0;1174.7;215.46;351.06;6.2852;NaN;62.575;NaN;0;0;154.52;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0073293
0.08;0;0;-0.45663;0;0.45837;0;0;0;0;0;0.03995;32.941;-106.92;0.9985;0;0;0;0;1174.5;215.29;351.03;6.2849;NaN;62.573;NaN;0;0;175.13;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0075697
0.09;0;0;-0.39368;0;0.39518;0;0;0;0;0;0.034442;32.941;-106.92;0.9985;0;0;0;0;1174.3;215.11;351;6.2846;NaN;62.571;NaN;0;0;195.73;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;85;0;NaN;45.077;12.742;1101.4;0.01;0.0078032
