# Nominal_3 (Up to date)
# 1062 data points written for 53 variables.
# Simulation warnings:
#   Implantação recuperação do dispositivo a alta velocidade (30,7 m/s)
#
# Tempo (s);Velocidade vertical (ft/s);Aceleração vertical (G);Velocidade total (ft/s);Aceleração total (G);Posição a favor do vento (ft);Posição paralela ao vento (ft);Distância lateral (ft);Direção lateral (°);Velocidade lateral (ft/s);Aceleração lateral (G);Latitude (°);Longitude (°);Aceleração gravitacional (G);Ângulo de ataque (°);Taxa de rotação (°/s);Taxa de arremesso (°/s);Taxa de guinada (°/s);Massa. (oz);Massa do propelente (oz);Momento de inércia longitudinal (lb·ft²);Momento de inércia de rotação (lb·ft²);Localização do CP (in);Localização do CG (in);Calibres da margem de estabilidade (?);Número de Mach (?);Número de Reynolds (?);Impulso (N);Força de arrasto (N);Coeficiente de arrasto (?);Coeficiente de arrasto axial (?);Coeficiente de arrasto de atrito (?);Coeficiente de arrasto de pressão (?);Coeficiente de arrasto de base (?);Coeficiente de força normal (?);Coeficiente de momento de Pitch (?);Guinada coeficiente de momento (?);Coeficiente de força lateral (?);Coeficiente do momento de rotação (?);Coeficiente forçado de rotação (?);Coeficiente de amortecimento de rotação (?);Coeficiente de arremesso de amortecimento (?);Aceleração de Coriolis (G);Comprimento de referência (in);Área de referência (in²);Orientação vertical (zênite) (°);Orientação lateral (azimute) (°);Velocidade do vento (ft/s);Temperatura do ar (°F);Pressão do ar (psi);Velocidade do som (ft/s);Passo de tempo de simulação (s);Tempo de computação (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0;0;-0.96429;0;0.96562;0;0;0;0;0;0.050537;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;10.302;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;7.534e-4
0.01;0;-0.90135;0;0.90259;0;0;0;0;0;0.047238;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;30.905;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0010439
0.02;0;-0.83838;0;0.83953;0;0;0;0;0;0.043938;32.941;-106.92;0.9985;0;0;0;0;1175.6;216.35;351.21;6.2867;NaN;62.585;NaN;0;0;51.508;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0013293
0.03;0;-0.77539;0;0.77646;0;0;0;0;0;0.040637;32.941;-106.92;0.9985;0;0;0;0;1175.4;216.17;351.18;6.2864;NaN;62.583;NaN;0;0;72.111;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0016207
0.04;0;-0.71239;0;0.71336;0;0;0;0;0;0.037335;32.941;-106.92;0.9985;0;0;0;0;1175.2;216;351.15;6.2861;NaN;62.581;NaN;0;0;92.714;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0019019
0.05;0;-0.64936;0;0.65025;0;0;0;0;0;0.034032;32.941;-106.92;0.9985;0;0;0;0;1175;215.82;351.12;6.2858;NaN;62.579;NaN;0;0;113.32;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0022461
0.06;0;-0.58632;0;0.58712;0;0;0;0;0;0.030728;32.941;-106.92;0.9985;0;0;0;0;1174.8;215.64;351.09;6.2855;NaN;62.577;NaN;0;0;133.92;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0025818
0.07;0;-0.52325;0;0.52397;0;0;0;0;0;0.027423;32.941;-106.92;0.9985;0;0;0;0;1174.7;215.46;351.06;6.2852;NaN;62.575;NaN;0;0;154.52;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.002897
0.08;0;-0.46017;0;0.4608;0;0;0;0;0;0.024116;32.941;-106.92;0.9985;0;0;0;0;1174.5;215.29;351.03;6.2849;NaN;62.573;NaN;0;0;175.13;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0032037
0.09;0;-0.39707;0;0.39761;0;0;0;0;0;0.020809;32.941;-106.92;0.9985;0;0;0;0;1174.3;215.11;351;6.2846;NaN;62.571;NaN;0;0;195.73;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.003605
0.1;0;-0.33395;0;0.33441;0;0;0;0;0;0.017501;32.941;-106.92;0.9985;0;0;0;0;1174.1;214.93;350.97;6.2843;NaN;62.568;NaN;0;0;216.33;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0038835
0.11;0;-0.27081;0;0.27118;0;0;0;0;0;0.014192;32.941;-106.92;0.9985;0;0;0;0;1174;214.75;350.94;6.284;NaN;62.566;NaN;0;0;236.93;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0041697
0.12;0;-0.20765;0;0.20793;0;0;0;0;0;0.010882;32.941;-106.92;0.9985;0;0;0;0;1173.8;214.58;350.91;6.2837;NaN;62.564;NaN;0;0;257.54;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0044488
0.13;0;-0.14447;0;0.14467;0;0;0;0;0;0.0075714;32.941;-106.92;0.9985;0;0;0;0;1173.6;214.4;350.88;6.2834;NaN;62.562;NaN;0;0;278.14;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0048002
0.14;0;-0.081273;0;0.081385;0;0;0;0;0;0.0042593;32.941;-106.92;0.9985;0;0;0;0;1173.4;214.22;350.85;6.2831;NaN;62.56;NaN;0;0;298.74;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0052986
0.15;0;-0.018057;0;0.018082;0;0;0;0;0;9.4632e-4;32.941;-106.92;0.9985;0;0;0;0;1173.3;214.04;350.82;6.2828;NaN;62.558;NaN;0;0;319.35;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.0058686
0.16;0;0.045179;0;0.045241;0;0;0;0;0;0.0023677;32.941;-106.92;0.9985;0;0;0;0;1173.1;213.87;350.79;6.2825;NaN;62.556;NaN;0;0;339.95;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.01057
0.17;0.014578;0.10843;0.014598;0.10858;3.8178e-6;0;3.8178e-6;0;7.64e-4;0.0056827;32.941;-106.92;0.9985;0;0;0;0;1172.9;213.69;350.76;6.2822;NaN;62.554;NaN;1.3254e-5;704.04;360.55;2.2977e-7;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.5566e-8;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.010834
0.18;0.04951;0.17171;0.049578;0.17194;2.0609e-5;0;2.0609e-5;0;0.0025947;0.0089988;32.941;-106.92;0.9985;0;0;0;0;1172.7;213.51;350.73;6.2819;NaN;62.552;NaN;4.5014e-5;2391.1;381.16;2.6502e-6;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.8871e-7;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.011133
0.19;0.1048;0.235;0.10495;0.23532;6.1043e-5;0;6.1043e-5;0;0.0054925;0.012316;32.941;-106.92;0.9985;0;0;0;0;1172.5;213.33;350.7;6.2816;NaN;62.55;NaN;9.5286e-5;5061.4;401.76;1.1875e-5;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.9947e-7;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.011371
0.2;0.18046;0.29831;0.18071;0.29872;1.3579e-4;0;1.3579e-4;0;0.0094576;0.015634;32.941;-106.92;0.9985;0;0;0;0;1172.4;213.16;350.67;6.2813;NaN;62.547;NaN;1.6407e-4;8715.3;422.36;3.521e-5;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.8785e-7;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.011595
0.21;0.27649;0.36164;0.27687;0.36214;2.5553e-4;0;2.5553e-4;0;0.01449;0.018953;32.941;-106.92;0.9985;0;0;0;0;1172.2;212.98;350.64;6.281;NaN;62.545;NaN;2.5139e-4;13353;442.97;7.5219e-5;1.172;1.172;1.0809;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.0539e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.011846
0.22;0.3929;0.42499;0.39344;0.42558;4.3093e-4;0;4.3093e-4;0;0.020591;0.022273;32.941;-106.92;0.9985;0;0;0;0;1172;212.8;350.61;6.2807;NaN;62.543;NaN;3.5723e-4;18975;463.57;1.3626e-4;1.0514;1.0514;0.96026;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.4976e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.012093
0.23;0.5297;0.48836;0.53043;0.48903;6.7269e-4;0;6.7269e-4;0;0.02776;0.025594;32.941;-106.92;0.9985;0;0;0;0;1171.8;212.62;350.58;6.2804;NaN;62.541;NaN;4.816e-4;25582;484.17;2.2709e-4;0.96411;0.96411;0.87292;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.019e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.012329
0.24;0.68688;0.55175;0.68783;0.55251;9.9148e-4;0;9.9148e-4;0;0.035998;0.028916;32.941;-106.92;0.9985;0;0;0;0;1171.7;212.45;350.55;6.2801;NaN;62.539;NaN;6.2451e-4;33173;504.77;3.5547e-4;0.89748;0.89748;0.80629;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.6181e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.012653
0.25;0.86447;0.61516;0.86565;0.616;0.001398;0;0.001398;0;0.045305;0.032239;32.941;-106.92;0.9985;0;0;0;0;1171.5;212.27;350.52;6.2798;NaN;62.537;NaN;7.8597e-4;41749;525.38;5.2991e-4;0.84468;0.84468;0.75349;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.295e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.012902
0.26;1.0625;0.67858;1.0639;0.67952;0.0019029;0;0.0019029;0;0.055681;0.035563;32.941;-106.92;0.9985;0;0;0;0;1171.3;212.09;350.49;6.2795;NaN;62.535;NaN;9.6598e-4;51311;545.98;7.5963e-4;0.80162;0.80162;0.71043;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.0496e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.013161
0.27;1.2809;0.74203;1.2826;0.74305;0.0025169;0;0.0025169;0;0.067127;0.038888;32.941;-106.92;0.9985;0;0;0;0;1171.1;211.92;350.46;6.2792;NaN;62.533;NaN;0.0011645;61858;566.58;0.0010545;0.7657;0.7657;0.6745;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.8821e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.013458
0.28;1.5197;0.80549;1.5217;0.8066;0.0032508;0;0.0032508;0;0.079642;0.042214;32.941;-106.92;0.9985;0;0;0;0;1170.9;211.74;350.43;6.2789;NaN;62.531;NaN;0.0013817;73391;587.19;0.0014253;0.73518;0.73518;0.64398;0.036813;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.7923e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.013754
# Event LIFTOFF occurred at t=0.29 seconds
0.29;1.7789;0.86898;1.7813;0.87017;0.0041151;0;0.0041151;0;0.093228;0.045541;32.941;-106.92;0.9985;0;0;0;0;1170.8;211.56;350.4;6.2786;NaN;62.528;NaN;0.0016174;85911;607.79;0.0018831;0.70886;0.70886;0.61766;0.036813;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.7804e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.014056
0.3;2.0586;0.93248;2.0614;0.93376;0.0051207;0;0.0051207;0;0.10788;0.048869;32.941;-106.92;0.9985;0;0;0;0;1170.6;211.38;350.37;6.2783;NaN;62.526;NaN;0.0018716;99417;628.39;0.0024399;0.68587;0.68587;0.59468;0.036813;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.8464e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.014318
0.31;2.3587;0.996;2.3619;0.99737;0.0062782;0;0.0062782;0;0.12361;0.052198;32.941;-106.92;0.9985;0;0;0;0;1170.4;211.21;350.34;6.278;NaN;62.524;NaN;0.0021445;113910;649;0.0031084;0.66559;0.66559;0.57439;0.036813;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8.9902e-6;5.7087;25.595;87;0;NaN;45.077;12.742;1101.4;0.01;0.014572
0.32;2.6792;1.0595;2.6829;1.061;0.0075983;0;0.0075983;0;0.14041;0.055528;32.941;-106.92;0.9985;0;0;0;0;1170.2;211.03;350.31;6.2777;NaN;62.522;NaN;0.0024359;129390;669.6;0.0039018;0.64752;0.64752;0.55632;0.036814;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.0212e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.01483
0.33;3.0202;1.1231;3.0243;1.1246;0.0090917;0;0.0090917;0;0.15828;0.058859;32.941;-106.92;0.9985;0;0;0;0;1170.1;210.85;350.28;6.2774;NaN;62.52;NaN;0.0027459;145857;690.2;0.004834;0.6313;0.6313;0.5401;0.036814;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.1512e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.015087
0.34;3.3816;1.1867;3.3862;1.1883;0.010769;0;0.010769;0;0.17722;0.062191;32.941;-106.92;0.9985;0;0;0;0;1169.9;210.67;350.25;6.2771;NaN;62.518;NaN;0.0030745;163312;710.8;0.0059195;0.61663;0.61663;0.52544;0.036815;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.2889e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.015394
0.35;3.7635;1.2503;3.7687;1.252;0.012642;0;0.012642;0;0.19724;0.065524;32.941;-106.92;0.9985;0;0;0;0;1169.7;210.5;350.22;6.2768;NaN;62.516;NaN;0.0034217;181755;731.41;0.0071734;0.6033;0.6033;0.5121;0.036815;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.4345e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.015654
0.36;4.1658;1.3139;4.1716;1.3157;0.014719;0;0.014719;0;0.21832;0.068858;32.941;-106.92;0.9985;0;0;0;0;1169.5;210.32;350.19;6.2765;NaN;62.514;NaN;0.0037876;201186;752.01;0.0086115;0.5911;0.5911;0.49991;0.036816;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.5878e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.015911
0.37;4.5887;1.3775;4.595;1.3794;0.017013;0;0.017013;0;0.24048;0.072193;32.941;-106.92;0.9985;0;0;0;0;1169.3;210.14;350.15;6.2762;NaN;62.512;NaN;0.004172;221606;772.61;0.01025;0.5799;0.5799;0.4887;0.036817;0.05438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.749e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.016249
0.38;5.032;1.4412;5.0389;1.4432;0.019534;0;0.019534;0;0.26371;0.075529;32.941;-106.92;0.9985;0;0;0;0;1169.2;209.96;350.12;6.276;NaN;62.509;NaN;0.004575;243014;793.22;0.012106;0.56955;0.56955;0.47835;0.036818;0.054381;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.918e-5;5.7087;25.595;87;0;NaN;45.076;12.742;1101.4;0.01;0.016505
0.39;5.4958;1.5048;5.5033;1.5069;0.022293;0;0.022293;0;0.28802;0.078866;32.941;-106.92;0.9985;0;0;0;0;1169;209.79;350.09;6.2757;NaN;62.507;NaN;0.0049967;265412;813.82;0.014198;0.55997;0.55997;0.46877;0.036819;0.054381;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.0948e-5;5.7087;25.595;87;0;NaN;45.075;12.742;1101.4;0.01;0.016752
0.4;5.98;1.5685;5.9882;1.5707;0.0253;0;0.0253;0;0.3134;0.082204;32.941;-106.92;0.9985;0;0;0;0;1168.8;209.61;350.06;6.2754;NaN;62.505;NaN;0.005437;288799;834.42;0.016543;0.55106;0.55106;0.45986;0.03682;0.054381;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.2793e-5;5.7087;25.595;87;0;NaN;45.075;12.742;1101.4;0.01;0.017001
0.41;6.4848;1.6322;6.4937;1.6345;0.028566;0;0.028566;0;0.33985;0.085542;32.941;-106.92;0.9985;0;0;0;0;1168.6;209.43;350.03;6.2751;NaN;62.503;NaN;0.005896;313176;855.03;0.01916;0.54274;0.54274;0.45154;0.036821;0.054381;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.4717e-5;5.7087;25.595;87;0;NaN;45.075;12.742;1101.4;0.01;0.017253
0.42;7.0101;1.696;7.0197;1.6983;0.032102;0;0.032102;0;0.36738;0.088882;32.941;-106.92;0.9985;0;0;0;0;1168.5;209.25;350;6.2748;NaN;62.501;NaN;0.0063735;338542;875.63;0.022068;0.53496;0.53496;0.44376;0.036823;0.054382;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.6719e-5;5.7087;25.595;87;0;NaN;45.075;12.742;1101.4;0.01;0.017535
0.43;7.5558;1.7597;7.5662;1.7621;0.035919;0;0.035919;0;0.39598;0.092223;32.941;-106.92;0.9985;0;0;0;0;1168.3;209.08;349.97;6.2745;NaN;62.499;NaN;0.0068697;364899;896.23;0.025288;0.52766;0.52766;0.43645;0.036825;0.054382;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.88e-5;5.7087;25.595;87;0;NaN;45.075;12.742;1101.4;0.01;0.017785
0.44;8.1221;1.8235;8.1333;1.826;0.040028;0;0.040028;0;0.42566;0.095565;32.941;-106.92;0.9985;0;0;0;0;1168.1;208.9;349.94;6.2742;NaN;62.497;NaN;0.0073846;392246;916.83;0.028841;0.52079;0.52079;0.42958;0.036827;0.054383;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.0958e-5;5.7087;25.595;87;0;NaN;45.074;12.742;1101.4;0.01;0.018076
0.45;8.7089;1.8873;8.7209;1.8899;0.044438;0;0.044438;0;0.45641;0.098907;32.941;-106.92;0.9985;0;0;0;0;1167.9;208.72;349.91;6.2739;NaN;62.495;NaN;0.0079181;420584;937.44;0.032746;0.51432;0.51432;0.42311;0.036829;0.054383;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.3195e-5;5.7087;25.595;87;0;NaN;45.074;12.742;1101.4;0.01;0.022675
0.46;9.3162;1.9511;9.329;1.9537;0.049161;0;0.049161;0;0.48824;0.10225;32.941;-106.92;0.9985;0;0;0;0;1167.8;208.54;349.88;6.2736;NaN;62.493;NaN;0.0084703;449913;958.04;0.037027;0.5082;0.5082;0.41698;0.036831;0.054384;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.551e-5;5.7087;25.595;87;0;NaN;45.074;12.742;1101.4;0.01;0.022838
0.47;9.9441;2.0149;9.9577;2.0176;0.054208;0;0.054208;0;0.52115;0.1056;32.941;-106.92;0.9985;0;0;0;0;1167.6;208.37;349.85;6.2733;NaN;62.49;NaN;0.0090411;480233;978.64;0.041704;0.5024;0.5024;0.41119;0.036834;0.054384;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.7903e-5;5.7087;25.595;87;0;NaN;45.073;12.742;1101.4;0.01;0.022975
0.48;10.592;2.0787;10.607;2.0816;0.059589;0;0.059589;0;0.55513;0.10894;32.941;-106.92;0.9985;0;0;0;0;1167.4;208.19;349.82;6.273;NaN;62.488;NaN;0.0096307;511545;999.25;0.046802;0.49691;0.49691;0.40568;0.036837;0.054385;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.0374e-5;5.7087;25.595;87;0;NaN;45.073;12.742;1101.4;0.01;0.023114
0.49;11.261;2.1426;11.277;2.1455;0.065316;0;0.065316;0;0.59019;0.11229;32.941;-106.92;0.9985;0;0;0;0;1167.2;208.01;349.79;6.2727;NaN;62.486;NaN;0.010239;543848;1019.9;0.052344;0.49168;0.49168;0.40046;0.03684;0.054386;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.2924e-5;5.7087;25.595;87;0;NaN;45.073;12.741;1101.4;0.01;0.023264
0.5;11.951;2.2064;11.967;2.2095;0.071399;0;0.071399;0;0.62632;0.11563;32.941;-106.92;0.9985;0;0;0;0;1167;207.83;349.76;6.2724;NaN;62.484;NaN;0.010866;577143;1040.5;0.058353;0.48671;0.48671;0.39548;0.036843;0.054386;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.5552e-5;5.7087;25.595;87;0;NaN;45.072;12.741;1101.4;0.01;0.023404
0.51;12.661;2.2703;12.678;2.2734;0.077848;0;0.077848;0;0.66353;0.11898;32.941;-106.92;0.9985;0;0;0;0;1166.9;207.66;349.73;6.2721;NaN;62.482;NaN;0.011511;611431;1061.1;0.064855;0.48197;0.48197;0.39073;0.036847;0.054387;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.8258e-5;5.7087;25.595;87;0;NaN;45.072;12.741;1101.4;0.01;0.023549
0.52;13.391;2.3342;13.41;2.3374;0.084675;0;0.084675;0;0.70182;0.12233;32.941;-106.92;0.9985;0;0;0;0;1166.7;207.48;349.7;6.2718;NaN;62.48;NaN;0.012176;646711;1081.7;0.071874;0.47744;0.47744;0.3862;0.036851;0.054388;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.1043e-5;5.7087;25.595;87;0;NaN;45.071;12.741;1101.4;0.01;0.023694
0.53;14.143;2.3982;14.162;2.4015;0.09189;0;0.09189;0;0.74118;0.12568;32.941;-106.92;0.9985;0;0;0;0;1166.5;207.3;349.67;6.2715;NaN;62.478;NaN;0.012859;682984;1102.3;0.079436;0.47311;0.47311;0.38187;0.036856;0.054389;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.3906e-5;5.7087;25.595;87;0;NaN;45.071;12.741;1101.4;0.01;0.023874
0.54;14.914;2.4621;14.935;2.4655;0.099504;0;0.099504;0;0.78163;0.12903;32.941;-106.92;0.9985;0;0;0;0;1166.3;207.12;349.64;6.2712;NaN;62.476;NaN;0.01356;720249;1122.9;0.087567;0.46897;0.46897;0.37772;0.036861;0.05439;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.6848e-5;5.7087;25.595;87;0;NaN;45.07;12.741;1101.4;0.01;0.024034
0.55;15.707;2.5261;15.728;2.5295;0.10753;0;0.10753;0;0.82315;0.13239;32.941;-106.92;0.9985;0;0;0;0;1166.2;206.95;349.61;6.2709;NaN;62.473;NaN;0.014281;758509;1143.5;0.096295;0.465;0.465;0.37374;0.036866;0.054391;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.9867e-5;5.7087;25.595;87;0;NaN;45.07;12.741;1101.4;0.01;0.024175
0.56;16.52;2.59;16.542;2.5936;0.11597;0;0.11597;0;0.86575;0.13574;32.941;-106.92;0.9985;0;0;0;0;1166;206.77;349.58;6.2706;NaN;62.471;NaN;0.01502;797761;1164.1;0.10565;0.46119;0.46119;0.36992;0.036872;0.054393;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.2966e-5;5.7087;25.595;87;0;NaN;45.069;12.741;1101.4;0.01;0.024416
0.57;17.353;2.654;17.377;2.6577;0.12485;0;0.12485;0;0.90943;0.13909;32.941;-106.92;0.9985;0;0;0;0;1165.8;206.59;349.55;6.2703;NaN;62.469;NaN;0.015777;838007;1184.7;0.11565;0.45753;0.45753;0.36626;0.036878;0.054394;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.6143e-5;5.7087;25.595;87;0;NaN;45.069;12.741;1101.4;0.01;0.024656
0.58;18.207;2.7181;18.232;2.7218;0.13417;0;0.13417;0;0.95419;0.14245;32.941;-106.92;0.9985;0;0;0;0;1165.6;206.41;349.52;6.27;NaN;62.467;NaN;0.016554;879247;1205.3;0.12633;0.45401;0.45401;0.36273;0.036885;0.054395;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.9398e-5;5.7087;25.595;87;0;NaN;45.068;12.741;1101.4;0.01;0.024898
0.59;19.082;2.7821;19.108;2.7859;0.14394;0;0.14394;0;1;0.1458;32.941;-106.92;0.9985;0;0;0;0;1165.4;206.24;349.49;6.2697;NaN;62.465;NaN;0.017349;921482;1225.9;0.13773;0.45062;0.45062;0.35933;0.036892;0.054397;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.2732e-5;5.7087;25.595;87;0;NaN;45.067;12.741;1101.4;0.01;0.025136
0.6;19.977;2.8461;20.004;2.85;0.15417;0;0.15417;0;1.0469;0.14916;32.941;-106.92;0.9985;0;0;0;0;1165.3;206.06;349.46;6.2694;NaN;62.463;NaN;0.018163;964710;1246.5;0.14986;0.44736;0.44736;0.35606;0.0369;0.054399;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.6144e-5;5.7087;25.595;87;0;NaN;45.067;12.741;1101.4;0.01;0.025415
