# Nominal_11 (Up to date)
# 1081 data points written for 54 variables.
# Simulation warnings:
#   Implantação recuperação do dispositivo a alta velocidade (61,1 m/s)
#
# Tempo (s);Altitude (ft);Velocidade vertical (ft/s);Aceleração vertical (G);Velocidade total (ft/s);Aceleração total (G);Posição a favor do vento (ft);Posição paralela ao vento (ft);Distância lateral (ft);Direção lateral (°);Velocidade lateral (ft/s);Aceleração lateral (G);Latitude (°);Longitude (°);Aceleração gravitacional (G);Ângulo de ataque (°);Taxa de rotação (°/s);Taxa de arremesso (°/s);Taxa de guinada (°/s);Massa. (oz);Massa do propelente (oz);Momento de inércia longitudinal (lb·ft²);Momento de inércia de rotação (lb·ft²);Localização do CP (in);Localização do CG (in);Calibres da margem de estabilidade (?);Número de Mach (?);Número de Reynolds (?);Impulso (N);Força de arrasto (N);Coeficiente de arrasto (?);Coeficiente de arrasto axial (?);Coeficiente de arrasto de atrito (?);Coeficiente de arrasto de pressão (?);Coeficiente de arrasto de base (?);Coeficiente de força normal (?);Coeficiente de momento de Pitch (?);Guinada coeficiente de momento (?);Coeficiente de força lateral (?);Coeficiente do momento de rotação (?);Coeficiente forçado de rotação (?);Coeficiente de amortecimento de rotação (?);Coeficiente de arremesso de amortecimento (?);Aceleração de Coriolis (G);Comprimento de referência (in);Área de referência (in²);Orientação vertical (zênite) (°);Orientação lateral (azimute) (°);Velocidade do vento (ft/s);Temperatura do ar (°F);Pressão do ar (psi);Velocidade do som (ft/s);Passo de tempo de simulação (s);Tempo de computação (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0;0;0;-0.93121;0;0.94864;0;0;0;0;0;0.18101;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;10.302;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;9.28e-4
0.01;0;0;-0.86934;0;0.88561;0;0;0;0;0;0.16898;32.941;-106.92;0.9985;0;0;0;0;1175.7;216.53;351.24;6.287;NaN;62.587;NaN;0;0;30.905;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0012017
0.02;0;0;-0.80744;0;0.82255;0;0;0;0;0;0.15695;32.941;-106.92;0.9985;0;0;0;0;1175.6;216.35;351.21;6.2867;NaN;62.585;NaN;0;0;51.508;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0015029
0.03;0;0;-0.74553;0;0.75948;0;0;0;0;0;0.14492;32.941;-106.92;0.9985;0;0;0;0;1175.4;216.17;351.18;6.2864;NaN;62.583;NaN;0;0;72.111;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0017756
0.04;0;0;-0.68359;0;0.69639;0;0;0;0;0;0.13288;32.941;-106.92;0.9985;0;0;0;0;1175.2;216;351.15;6.2861;NaN;62.581;NaN;0;0;92.714;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0020484
0.05;0;0;-0.62164;0;0.63328;0;0;0;0;0;0.12083;32.941;-106.92;0.9985;0;0;0;0;1175;215.82;351.12;6.2858;NaN;62.579;NaN;0;0;113.32;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0023923
0.06;0;0;-0.55967;0;0.57014;0;0;0;0;0;0.10879;32.941;-106.92;0.9985;0;0;0;0;1174.8;215.64;351.09;6.2855;NaN;62.577;NaN;0;0;133.92;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0026996
0.07;0;0;-0.49768;0;0.50699;0;0;0;0;0;0.096739;32.941;-106.92;0.9985;0;0;0;0;1174.7;215.46;351.06;6.2852;NaN;62.575;NaN;0;0;154.52;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0030388
0.08;0;0;-0.43567;0;0.44382;0;0;0;0;0;0.084686;32.941;-106.92;0.9985;0;0;0;0;1174.5;215.29;351.03;6.2849;NaN;62.573;NaN;0;0;175.13;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0033079
0.09;0;0;-0.37364;0;0.38064;0;0;0;0;0;0.072629;32.941;-106.92;0.9985;0;0;0;0;1174.3;215.11;351;6.2846;NaN;62.571;NaN;0;0;195.73;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0035866
0.1;0;0;-0.3116;0;0.31743;0;0;0;0;0;0.060568;32.941;-106.92;0.9985;0;0;0;0;1174.1;214.93;350.97;6.2843;NaN;62.568;NaN;0;0;216.33;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0038795
0.11;0;0;-0.24953;0;0.2542;0;0;0;0;0;0.048504;32.941;-106.92;0.9985;0;0;0;0;1174;214.75;350.94;6.284;NaN;62.566;NaN;0;0;236.93;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.004157
0.12;0;0;-0.18745;0;0.19096;0;0;0;0;0;0.036436;32.941;-106.92;0.9985;0;0;0;0;1173.8;214.58;350.91;6.2837;NaN;62.564;NaN;0;0;257.54;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0044302
0.13;0;0;-0.12535;0;0.12769;0;0;0;0;0;0.024365;32.941;-106.92;0.9985;0;0;0;0;1173.6;214.4;350.88;6.2834;NaN;62.562;NaN;0;0;278.14;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0047054
0.14;0;0;-0.063224;0;0.064408;0;0;0;0;0;0.01229;32.941;-106.92;0.9985;0;0;0;0;1173.4;214.22;350.85;6.2831;NaN;62.56;NaN;0;0;298.74;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.0052803
0.15;0;0;-0.0010844;0;0.0011047;0;0;0;0;0;2.1079e-4;32.941;-106.92;0.9985;0;0;0;0;1173.3;214.04;350.82;6.2828;NaN;62.558;NaN;0;0;319.35;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.010361
0.16;0;0;0.061074;0;0.062218;0;0;0;0;0;0.011872;32.941;-106.92;0.9985;0;0;0;0;1173.1;213.87;350.79;6.2825;NaN;62.556;NaN;0;0;339.95;0;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.01066
0.17;9.8417e-5;0.019692;0.12325;0.02006;0.12556;1.913e-5;0;1.913e-5;0;0.0038277;0.023958;32.941;-106.92;0.9985;0;0;0;0;1172.9;213.69;350.76;6.2822;NaN;62.554;NaN;1.8214e-5;967.47;360.55;4.3388e-7;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.6894e-8;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.010979
0.18;4.9378e-4;0.059391;0.18545;0.060502;0.18892;9.5982e-5;0;9.5982e-5;0;0.011544;0.036048;32.941;-106.92;0.9985;0;0;0;0;1172.7;213.51;350.73;6.2819;NaN;62.552;NaN;5.4933e-5;2917.9;381.16;3.9468e-6;1.2879;1.2879;1.1967;0.036812;0.054379;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.3191e-7;5.7087;25.595;79;0;NaN;45.077;12.742;1101.4;0.01;0.011244
